Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
伦敦大本钟,qwen,graph,Direct,13,54.17%,2025-12-25T14:00:35.578155,50.00%,25.00%,50.00%,75.00%,75.00%
伦敦大本钟,qwen,map,Direct,13,54.17%,2025-12-25T14:01:10.636903,37.50%,25.00%,50.00%,75.00%,100.00%
北京天安门,claude,context,Direct,19,79.17%,2025-12-25T14:02:48.782990,75.00%,75.00%,100.00%,50.00%,100.00%
北京天安门,claude,graph,Direct,15,62.50%,2025-12-25T14:06:57.687904,50.00%,100.00%,50.00%,25.00%,100.00%
北京天安门,claude,map,Direct,15,62.50%,2025-12-25T14:08:34.468224,50.00%,50.00%,100.00%,25.00%,100.00%
北京天安门,deepseek,context,Direct,12,50.00%,2025-12-25T14:09:55.694523,50.00%,50.00%,50.00%,50.00%,50.00%
北京天安门,deepseek,graph,Direct,11,45.83%,2025-12-25T14:11:11.110822,25.00%,25.00%,100.00%,0.00%,100.00%
北京天安门,deepseek,map,Direct,13,54.17%,2025-12-25T14:12:27.269143,25.00%,75.00%,100.00%,0.00%,100.00%
北京天安门,gemini,context,Direct,22,91.67%,2025-12-25T14:24:19.806841,100.00%,100.00%,75.00%,75.00%,100.00%
北京天安门,gemini,graph,Direct,19,79.17%,2025-12-25T14:37:48.176673,100.00%,50.00%,50.00%,75.00%,100.00%
北京天安门,gemini,map,Direct,18,75.00%,2025-12-25T14:56:12.798049,100.00%,50.00%,50.00%,50.00%,100.00%
北京天安门,openai,context,Direct,18,75.00%,2025-12-25T14:57:21.769355,75.00%,50.00%,100.00%,50.00%,100.00%
北京天安门,openai,graph,Direct,15,62.50%,2025-12-25T14:58:25.599514,62.50%,0.00%,100.00%,50.00%,100.00%
北京天安门,openai,map,Direct,17,70.83%,2025-12-25T14:59:30.593077,62.50%,25.00%,75.00%,100.00%,100.00%
北京天安门,qwen,context,Direct,15,62.50%,2025-12-25T15:00:18.425456,25.00%,75.00%,100.00%,50.00%,100.00%
北京天安门,qwen,graph,Direct,17,70.83%,2025-12-25T15:01:01.308257,62.50%,50.00%,100.00%,50.00%,100.00%
北京天安门,qwen,map,Direct,18,75.00%,2025-12-25T15:01:40.075418,87.50%,50.00%,75.00%,50.00%,100.00%
多伦多CN塔,claude,context,Direct,20,83.33%,2025-12-25T15:03:36.687903,87.50%,75.00%,75.00%,75.00%,100.00%
多伦多CN塔,claude,graph,Direct,13,54.17%,2025-12-25T15:08:24.720921,62.50%,50.00%,50.00%,25.00%,75.00%
多伦多CN塔,claude,map,Direct,12,50.00%,2025-12-25T15:10:07.307603,25.00%,25.00%,100.00%,25.00%,100.00%
多伦多CN塔,deepseek,context,Direct,14,58.33%,2025-12-25T15:11:26.215995,37.50%,100.00%,75.00%,25.00%,75.00%
多伦多CN塔,deepseek,graph,Direct,12,50.00%,2025-12-25T15:12:41.243877,62.50%,25.00%,50.00%,25.00%,75.00%
多伦多CN塔,deepseek,map,Direct,13,54.17%,2025-12-25T15:13:56.966533,0.00%,100.00%,100.00%,25.00%,100.00%
多伦多CN塔,gemini,context,Direct,23,95.83%,2025-12-25T15:24:47.648628,100.00%,100.00%,100.00%,75.00%,100.00%
多伦多CN塔,gemini,graph,Direct,19,79.17%,2025-12-25T15:57:01.699838,87.50%,100.00%,50.00%,50.00%,100.00%
多伦多CN塔,gemini,map,Direct,21,87.50%,2025-12-25T16:17:46.078401,100.00%,50.00%,100.00%,75.00%,100.00%
多伦多CN塔,openai,context,Direct,20,83.33%,2025-12-25T16:18:35.045728,75.00%,100.00%,75.00%,75.00%,100.00%
多伦多CN塔,openai,graph,Direct,20,83.33%,2025-12-25T16:19:22.996756,75.00%,75.00%,75.00%,100.00%,100.00%
多伦多CN塔,openai,map,Direct,17,70.83%,2025-12-25T16:20:11.136843,50.00%,50.00%,100.00%,75.00%,100.00%
多伦多CN塔,qwen,context,Direct,18,75.00%,2025-12-25T16:20:46.913084,62.50%,100.00%,75.00%,75.00%,75.00%
多伦多CN塔,qwen,graph,Direct,17,70.83%,2025-12-25T16:21:18.756805,62.50%,100.00%,75.00%,50.00%,75.00%
多伦多CN塔,qwen,map,Direct,17,70.83%,2025-12-25T16:21:47.332429,50.00%,75.00%,100.00%,75.00%,75.00%
巴黎埃菲尔铁塔,claude,context,Direct,20,83.33%,2025-12-25T16:23:34.165952,87.50%,75.00%,100.00%,50.00%,100.00%
巴黎埃菲尔铁塔,claude,graph,Direct,12,50.00%,2025-12-25T16:38:14.577001,25.00%,75.00%,50.00%,50.00%,75.00%
巴黎埃菲尔铁塔,claude,map,Direct,17,70.83%,2025-12-25T16:39:47.235604,75.00%,50.00%,75.00%,75.00%,75.00%
巴黎埃菲尔铁塔,deepseek,context,Direct,16,66.67%,2025-12-25T16:40:44.588815,50.00%,75.00%,100.00%,50.00%,75.00%
巴黎埃菲尔铁塔,deepseek,graph,Direct,11,45.83%,2025-12-25T16:41:40.497642,25.00%,25.00%,75.00%,50.00%,75.00%
巴黎埃菲尔铁塔,deepseek,map,Direct,13,54.17%,2025-12-25T16:42:37.607083,25.00%,75.00%,75.00%,25.00%,100.00%
巴黎埃菲尔铁塔,gemini,context,Direct,21,87.50%,2025-12-25T16:54:11.081126,100.00%,100.00%,100.00%,75.00%,50.00%
巴黎埃菲尔铁塔,gemini,graph,Direct,19,79.17%,2025-12-25T17:26:02.364215,100.00%,100.00%,25.00%,75.00%,75.00%
巴黎埃菲尔铁塔,gemini,map,Direct,18,75.00%,2025-12-25T17:41:45.896622,100.00%,25.00%,75.00%,75.00%,75.00%
巴黎埃菲尔铁塔,openai,context,Direct,20,83.33%,2025-12-25T17:42:52.994413,87.50%,100.00%,100.00%,50.00%,75.00%
巴黎埃菲尔铁塔,openai,graph,Direct,12,50.00%,2025-12-25T17:43:59.044803,12.50%,50.00%,75.00%,75.00%,75.00%
巴黎埃菲尔铁塔,openai,map,Direct,12,50.00%,2025-12-25T17:45:04.971112,0.00%,75.00%,75.00%,75.00%,75.00%
巴黎埃菲尔铁塔,qwen,context,Direct,15,62.50%,2025-12-25T17:45:42.934916,12.50%,75.00%,100.00%,100.00%,75.00%
巴黎埃菲尔铁塔,qwen,graph,Direct,9,37.50%,2025-12-25T17:46:18.651440,37.50%,25.00%,75.00%,25.00%,25.00%
