Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
洛杉矶好莱坞,deepseek,text,Direct,11,45.83%,2025-12-24T22:00:18.734434,25.00%,50.00%,75.00%,25.00%,75.00%
洛杉矶好莱坞,gemini,text,Direct,21,87.50%,2025-12-24T22:07:54.522658,100.00%,100.00%,100.00%,25.00%,100.00%
洛杉矶好莱坞,openai,text,Direct,8,33.33%,2025-12-24T22:09:01.786168,25.00%,25.00%,50.00%,0.00%,75.00%
洛杉矶好莱坞,qwen,text,Direct,10,41.67%,2025-12-24T22:09:35.099321,37.50%,75.00%,25.00%,0.00%,75.00%
纽约时代广场,claude,text,Direct,17,70.83%,2025-12-24T22:12:25.339749,75.00%,25.00%,100.00%,75.00%,75.00%
纽约时代广场,deepseek,text,Direct,7,29.17%,2025-12-24T22:13:25.706625,50.00%,0.00%,50.00%,0.00%,25.00%
纽约时代广场,gemini,text,Direct,17,70.83%,2025-12-24T22:24:35.860059,75.00%,75.00%,50.00%,50.00%,100.00%
纽约时代广场,openai,text,Direct,11,45.83%,2025-12-24T22:25:45.441698,50.00%,50.00%,75.00%,0.00%,50.00%
纽约时代广场,qwen,text,Direct,13,54.17%,2025-12-24T22:26:24.047520,25.00%,25.00%,75.00%,75.00%,100.00%
维也纳美泉宫,claude,text,Direct,21,87.50%,2025-12-24T22:30:24.638885,100.00%,75.00%,75.00%,75.00%,100.00%
维也纳美泉宫,deepseek,text,Direct,10,41.67%,2025-12-24T22:31:30.382179,62.50%,50.00%,0.00%,50.00%,25.00%
维也纳美泉宫,gemini,text,Direct,17,70.83%,2025-12-24T22:40:51.449464,100.00%,75.00%,100.00%,25.00%,25.00%
维也纳美泉宫,openai,text,Direct,11,45.83%,2025-12-24T22:42:00.379393,62.50%,25.00%,50.00%,0.00%,75.00%
维也纳美泉宫,qwen,text,Direct,16,66.67%,2025-12-24T22:44:43.305515,75.00%,50.00%,75.00%,50.00%,75.00%
罗马斗兽场,claude,text,Direct,20,83.33%,2025-12-24T22:46:33.859069,87.50%,50.00%,100.00%,75.00%,100.00%
罗马斗兽场,deepseek,text,Direct,16,66.67%,2025-12-24T22:47:39.322908,75.00%,75.00%,75.00%,75.00%,25.00%
罗马斗兽场,gemini,text,Direct,23,95.83%,2025-12-24T22:55:13.223728,100.00%,100.00%,100.00%,75.00%,100.00%
罗马斗兽场,openai,text,Direct,13,54.17%,2025-12-24T22:56:17.305179,62.50%,0.00%,50.00%,50.00%,100.00%
罗马斗兽场,qwen,text,Direct,16,66.67%,2025-12-24T22:56:49.141408,50.00%,50.00%,100.00%,75.00%,75.00%
芝加哥千禧公园,claude,text,Direct,15,62.50%,2025-12-24T22:58:53.422603,87.50%,75.00%,75.00%,25.00%,25.00%
芝加哥千禧公园,deepseek,text,Direct,9,37.50%,2025-12-24T22:59:54.044070,62.50%,75.00%,25.00%,0.00%,0.00%
芝加哥千禧公园,gemini,text,Direct,16,66.67%,2025-12-24T23:09:17.583738,75.00%,100.00%,75.00%,25.00%,50.00%
芝加哥千禧公园,openai,text,Direct,11,45.83%,2025-12-24T23:10:30.699301,50.00%,50.00%,75.00%,25.00%,25.00%
芝加哥千禧公园,qwen,text,Direct,10,41.67%,2025-12-24T23:11:04.481189,50.00%,50.00%,50.00%,25.00%,25.00%
长沙五一广场,claude,text,Direct,16,66.67%,2025-12-24T23:13:34.017529,75.00%,75.00%,75.00%,25.00%,75.00%
长沙五一广场,deepseek,text,Direct,13,54.17%,2025-12-24T23:14:34.504197,87.50%,75.00%,50.00%,25.00%,0.00%
长沙五一广场,gemini,text,Direct,18,75.00%,2025-12-24T23:25:20.290714,100.00%,100.00%,100.00%,0.00%,50.00%
长沙五一广场,openai,text,Direct,13,54.17%,2025-12-24T23:26:28.846234,62.50%,50.00%,50.00%,50.00%,50.00%
长沙五一广场,qwen,text,Direct,15,62.50%,2025-12-24T23:26:58.401355,50.00%,50.00%,75.00%,50.00%,100.00%
