Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,重选起点次数,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
上海外滩,qwen,context,Direct,11,45.83%,2026-03-30T22:12:26.086865,1,25.00%,75.00%,100.00%,0.00%,50.00%
伦敦大本钟,qwen,context,Direct,11,45.83%,2026-03-30T22:25:21.017034,4,25.00%,50.00%,75.00%,25.00%,75.00%
北京天安门,qwen,context,Direct,11,45.83%,2026-03-30T22:48:43.341306,2,25.00%,75.00%,25.00%,25.00%,100.00%
多伦多CN塔,qwen,context,Direct,16,66.67%,2026-03-30T23:01:14.620312,2,50.00%,100.00%,75.00%,25.00%,100.00%
巴黎埃菲尔铁塔,qwen,context,Direct,15,62.50%,2026-03-30T23:10:56.324809,3,37.50%,75.00%,75.00%,50.00%,100.00%
旧金山联合广场,qwen,context,Direct,11,45.83%,2026-03-30T23:19:38.034777,3,12.50%,75.00%,75.00%,50.00%,50.00%
柏林勃兰登堡门,qwen,context,Direct,15,62.50%,2026-03-30T23:47:14.690345,2,75.00%,100.00%,50.00%,25.00%,50.00%
武汉黄鹤楼,qwen,context,Direct,8,33.33%,2026-03-31T00:03:20.180413,3,25.00%,25.00%,50.00%,0.00%,75.00%
洛杉矶好莱坞,qwen,context,Direct,11,45.83%,2026-03-31T00:11:38.142223,2,12.50%,75.00%,75.00%,0.00%,100.00%
纽约时代广场,qwen,context,Direct,12,50.00%,2026-03-31T00:29:44.606111,3,37.50%,25.00%,75.00%,25.00%,100.00%
维也纳美泉宫,qwen,context,Direct,13,54.17%,2026-03-31T00:43:30.484842,1,0.00%,75.00%,100.00%,50.00%,100.00%
罗马斗兽场,qwen,context,Direct,15,62.50%,2026-03-31T00:53:43.455405,5,50.00%,100.00%,50.00%,25.00%,100.00%
芝加哥千禧公园,qwen,context,Direct,13,54.17%,2026-03-31T01:07:29.552880,4,37.50%,75.00%,75.00%,25.00%,75.00%
长沙五一广场,qwen,context,Direct,14,58.33%,2026-03-31T01:22:55.507104,4,25.00%,75.00%,75.00%,50.00%,100.00%
广州塔,qwen,context,Direct,8,33.33%,2026-03-31T01:40:07.656479,1,25.00%,25.00%,75.00%,25.00%,25.00%
