Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,重选起点次数,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
伦敦大本钟,qwen,context,Direct,20,83.33%,2026-03-22T17:12:38.316494,7,62.50%,100.00%,100.00%,75.00%,100.00%
北京天安门,qwen,context,Direct,10,41.67%,2026-03-22T17:14:27.970219,15,25.00%,50.00%,50.00%,25.00%,75.00%
多伦多CN塔,qwen,context,Direct,16,66.67%,2026-03-22T17:18:19.226471,5,62.50%,75.00%,100.00%,50.00%,50.00%
巴黎埃菲尔铁塔,qwen,context,Direct,15,62.50%,2026-03-22T17:20:25.975055,15,62.50%,75.00%,100.00%,50.00%,25.00%
广州塔,qwen,context,Direct,12,50.00%,2026-03-22T17:23:09.761731,6,50.00%,75.00%,75.00%,25.00%,25.00%
旧金山联合广场,qwen,context,Direct,11,45.83%,2026-03-22T17:26:34.897677,14,12.50%,75.00%,75.00%,75.00%,25.00%
柏林勃兰登堡门,qwen,context,Direct,11,45.83%,2026-03-22T17:29:33.558436,11,25.00%,100.00%,50.00%,25.00%,50.00%
武汉黄鹤楼,qwen,context,Direct,9,37.50%,2026-03-22T17:31:45.211923,8,25.00%,75.00%,50.00%,25.00%,25.00%
洛杉矶好莱坞,qwen,context,Direct,12,50.00%,2026-03-22T17:35:13.243477,4,25.00%,75.00%,50.00%,25.00%,100.00%
纽约时代广场,qwen,context,Direct,18,75.00%,2026-03-22T17:39:44.838502,10,87.50%,50.00%,100.00%,25.00%,100.00%
维也纳美泉宫,qwen,context,Direct,16,66.67%,2026-03-22T17:42:31.569702,9,50.00%,100.00%,100.00%,50.00%,50.00%
芝加哥千禧公园,qwen,context,Direct,13,54.17%,2026-03-22T17:49:30.340216,4,37.50%,75.00%,50.00%,50.00%,75.00%
上海外滩,qwen,context,Direct,12,50.00%,2026-03-22T18:03:26.463498,9,37.50%,75.00%,75.00%,50.00%,25.00%
罗马斗兽场,qwen,context,Direct,18,75.00%,2026-03-22T18:06:29.226768,7,50.00%,100.00%,100.00%,50.00%,100.00%
长沙五一广场,qwen,context,Direct,18,75.00%,2026-03-22T18:17:04.712815,12,75.00%,100.00%,100.00%,75.00%,25.00%
