Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,重选起点次数,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
长沙五一广场,openai,context,Direct,15,62.50%,2026-03-20T01:00:42.555895,0,37.50%,100.00%,75.00%,25.00%,100.00%
上海外滩,claude,context,Direct,18,75.00%,2026-03-20T01:03:14.700552,0,50.00%,75.00%,100.00%,75.00%,100.00%
伦敦大本钟,claude,context,Direct,19,79.17%,2026-03-20T01:04:36.600328,0,100.00%,75.00%,100.00%,25.00%,75.00%
北京天安门,claude,context,Direct,18,75.00%,2026-03-20T01:08:08.301531,0,100.00%,100.00%,50.00%,50.00%,50.00%
多伦多CN塔,claude,context,Direct,20,83.33%,2026-03-20T01:11:57.627308,0,100.00%,75.00%,75.00%,50.00%,100.00%
巴黎埃菲尔铁塔,claude,context,Direct,22,91.67%,2026-03-20T01:15:22.792514,0,87.50%,100.00%,100.00%,75.00%,100.00%
广州塔,claude,context,Direct,19,79.17%,2026-03-20T01:18:45.343538,0,100.00%,75.00%,100.00%,50.00%,50.00%
旧金山联合广场,claude,context,Direct,17,70.83%,2026-03-20T01:22:17.454276,0,100.00%,50.00%,50.00%,25.00%,100.00%
柏林勃兰登堡门,claude,context,Direct,15,62.50%,2026-03-20T01:26:04.333523,0,62.50%,50.00%,75.00%,75.00%,50.00%
武汉黄鹤楼,claude,context,Direct,20,83.33%,2026-03-20T01:29:43.815607,0,87.50%,100.00%,100.00%,75.00%,50.00%
洛杉矶好莱坞,claude,context,Direct,13,54.17%,2026-03-20T01:34:28.390245,0,62.50%,50.00%,50.00%,25.00%,75.00%
纽约时代广场,claude,context,Direct,16,66.67%,2026-03-20T01:37:47.349416,0,75.00%,75.00%,75.00%,50.00%,50.00%
维也纳美泉宫,claude,context,Direct,16,66.67%,2026-03-20T01:41:41.090364,0,50.00%,75.00%,75.00%,75.00%,75.00%
罗马斗兽场,claude,context,Direct,20,83.33%,2026-03-20T01:45:47.708755,0,87.50%,75.00%,75.00%,100.00%,75.00%
