Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
上海外滩,deepseek,context,Direct,17,70.83%,2025-12-19 18:01:01,62.50%,75.00%,100.00%,25.00%,100.00%
上海外滩,deepseek,graph,Direct,17,70.83%,2025-12-19 18:07:18,87.50%,75.00%,100.00%,50.00%,25.00%
上海外滩,deepseek,map,Direct,14,58.33%,2025-12-19 18:17:11,50.00%,50.00%,100.00%,25.00%,75.00%
伦敦大本钟,deepseek,context,Direct,18,75.00%,2025-12-19 18:28:51,75.00%,100.00%,100.00%,0.00%,100.00%
伦敦大本钟,deepseek,graph,Direct,14,58.33%,2025-12-19 18:38:14,62.50%,75.00%,75.00%,0.00%,75.00%
伦敦大本钟,deepseek,map,Direct,12,50.00%,2025-12-19 18:47:51,25.00%,25.00%,75.00%,50.00%,100.00%
