区域,长_m,宽_m
北京天安门,43.9701815203417,40.412229464193715
上海外滩,41.06343391529635,35.74653845415701
广州塔,43.152338100748544,42.90487337065531
长沙五一广场,57.15014479992398,62.49471982480722
武汉黄鹤楼,43.426437301388994,49.436883952429554
