Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
上海外滩,deepseek,context,Direct,17,70.83%,2025-12-19 17:22:08,75.00%,75.00%,100.00%,0.00%,100.00%
上海外滩,deepseek,graph,Direct,14,58.33%,2025-12-19 17:31:25,75.00%,50.00%,100.00%,0.00%,50.00%
上海外滩,deepseek,map,Direct,12,50.00%,2025-12-19 17:38:51,37.50%,50.00%,100.00%,0.00%,75.00%
伦敦大本钟,deepseek,context,Direct,17,70.83%,2025-12-19 18:04:03,75.00%,75.00%,100.00%,0.00%,100.00%
伦敦大本钟,deepseek,graph,Direct,3,12.50%,2025-12-19 17:45:22,25.00%,0.00%,25.00%,0.00%,0.00%
伦敦大本钟,deepseek,map,Direct,6,25.00%,2025-12-19 17:55:04,12.50%,0.00%,25.00%,0.00%,100.00%

