Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
洛杉矶好莱坞,deepseek,text,Direct,12,50.00%,2025-12-24T22:23:05.817732,62.50%,25.00%,75.00%,25.00%,50.00%
洛杉矶好莱坞,gemini,text,Direct,19,79.17%,2025-12-24T22:34:20.769994,87.50%,100.00%,100.00%,25.00%,75.00%
洛杉矶好莱坞,openai,text,Direct,10,41.67%,2025-12-24T22:35:42.433235,25.00%,50.00%,75.00%,0.00%,75.00%
洛杉矶好莱坞,qwen,text,Direct,6,25.00%,2025-12-24T22:36:20.368791,25.00%,25.00%,0.00%,0.00%,75.00%
纽约时代广场,claude,text,Direct,12,50.00%,2025-12-24T22:38:31.612141,25.00%,25.00%,75.00%,50.00%,100.00%
纽约时代广场,deepseek,text,Direct,8,33.33%,2025-12-24T22:39:54.882022,37.50%,0.00%,75.00%,50.00%,0.00%
纽约时代广场,gemini,text,Direct,16,66.67%,2025-12-24T22:51:12.230359,75.00%,75.00%,75.00%,25.00%,75.00%
纽约时代广场,openai,text,Direct,9,37.50%,2025-12-24T22:52:29.474102,25.00%,25.00%,75.00%,50.00%,25.00%
纽约时代广场,qwen,text,Direct,13,54.17%,2025-12-24T22:53:09.832180,37.50%,0.00%,75.00%,75.00%,100.00%
维也纳美泉宫,claude,text,Direct,17,70.83%,2025-12-24T22:56:34.963165,100.00%,75.00%,75.00%,25.00%,50.00%
维也纳美泉宫,deepseek,text,Direct,9,37.50%,2025-12-24T22:58:02.484325,50.00%,0.00%,75.00%,25.00%,25.00%
维也纳美泉宫,gemini,text,Direct,20,83.33%,2025-12-24T23:10:38.201109,100.00%,75.00%,100.00%,25.00%,100.00%
维也纳美泉宫,openai,text,Direct,8,33.33%,2025-12-24T23:11:50.894443,62.50%,0.00%,0.00%,0.00%,75.00%
维也纳美泉宫,qwen,text,Direct,16,66.67%,2025-12-24T23:12:35.577567,75.00%,50.00%,50.00%,75.00%,75.00%
罗马斗兽场,claude,text,Direct,15,62.50%,2025-12-24T23:15:42.413908,37.50%,100.00%,50.00%,75.00%,75.00%
罗马斗兽场,deepseek,text,Direct,15,62.50%,2025-12-24T23:17:01.520268,87.50%,75.00%,75.00%,50.00%,0.00%
罗马斗兽场,gemini,text,Direct,22,91.67%,2025-12-24T23:27:08.516849,87.50%,100.00%,100.00%,75.00%,100.00%
罗马斗兽场,openai,text,Direct,10,41.67%,2025-12-24T23:28:19.781838,37.50%,25.00%,50.00%,50.00%,50.00%
罗马斗兽场,qwen,text,Direct,17,70.83%,2025-12-24T23:29:06.068899,50.00%,50.00%,100.00%,75.00%,100.00%
芝加哥千禧公园,claude,text,Direct,13,54.17%,2025-12-24T23:31:53.764984,62.50%,75.00%,50.00%,75.00%,0.00%
芝加哥千禧公园,deepseek,text,Direct,13,54.17%,2025-12-24T23:33:12.489364,50.00%,75.00%,50.00%,25.00%,75.00%
芝加哥千禧公园,gemini,text,Direct,16,66.67%,2025-12-24T23:44:41.239050,62.50%,100.00%,75.00%,50.00%,50.00%
芝加哥千禧公园,openai,text,Direct,10,41.67%,2025-12-24T23:45:54.385915,37.50%,50.00%,100.00%,25.00%,0.00%
芝加哥千禧公园,qwen,text,Direct,9,37.50%,2025-12-24T23:46:32.780028,50.00%,0.00%,75.00%,25.00%,25.00%
长沙五一广场,claude,text,Direct,13,54.17%,2025-12-24T23:49:13.663625,62.50%,100.00%,25.00%,50.00%,25.00%
长沙五一广场,deepseek,text,Direct,12,50.00%,2025-12-24T23:50:33.479703,62.50%,50.00%,75.00%,25.00%,25.00%
长沙五一广场,gemini,text,Direct,20,83.33%,2025-12-25T00:03:04.697561,100.00%,100.00%,100.00%,25.00%,75.00%
长沙五一广场,openai,text,Direct,15,62.50%,2025-12-25T00:04:16.347430,75.00%,25.00%,75.00%,50.00%,75.00%
长沙五一广场,qwen,text,Direct,10,41.67%,2025-12-25T00:04:55.678897,25.00%,25.00%,25.00%,100.00%,50.00%
