Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
维也纳美泉宫,qwen,context,Direct,15,62.50%,2025-12-20 16:09:40,37.50%,75.00%,75.00%,50.00%,100.00%
维也纳美泉宫,qwen,graph,Direct,9,37.50%,2025-12-20 16:14:27,37.50%,75.00%,50.00%,25.00%,0.00%
维也纳美泉宫,qwen,map,Direct,13,54.17%,2025-12-20 16:19:26,50.00%,50.00%,100.00%,0.00%,75.00%
维也纳美泉宫,openai,context,Direct,21,87.50%,2025-12-20 16:24:06,75.00%,100.00%,100.00%,75.00%,100.00%
维也纳美泉宫,openai,graph,Direct,14,58.33%,2025-12-20 16:28:48,37.50%,100.00%,75.00%,25.00%,75.00%
维也纳美泉宫,openai,map,Direct,12,50.00%,2025-12-20 16:33:30,37.50%,50.00%,50.00%,50.00%,75.00%
维也纳美泉宫,deepseek,context,Direct,18,75.00%,2025-12-20 16:43:30,50.00%,100.00%,100.00%,50.00%,100.00%
维也纳美泉宫,deepseek,graph,Direct,11,45.83%,2025-12-20 16:55:07,37.50%,75.00%,75.00%,0.00%,50.00%
维也纳美泉宫,deepseek,map,Direct,15,62.50%,2025-12-20 17:07:14,62.50%,100.00%,75.00%,0.00%,75.00%
维也纳美泉宫,claude,context,Direct,14,58.33%,2025-12-20 17:13:48,37.50%,75.00%,75.00%,50.00%,75.00%
维也纳美泉宫,claude,graph,Direct,10,41.67%,2025-12-20 17:19:13,25.00%,75.00%,50.00%,50.00%,25.00%
维也纳美泉宫,claude,map,Direct,14,58.33%,2025-12-20 17:25:25,50.00%,50.00%,100.00%,0.00%,100.00%
维也纳美泉宫,gemini,context,Direct,16,66.67%,2025-12-20 17:31:49,37.50%,100.00%,75.00%,50.00%,100.00%
维也纳美泉宫,gemini,graph,Direct,9,37.50%,2025-12-20 17:42:05,25.00%,75.00%,50.00%,25.00%,25.00%
维也纳美泉宫,gemini,map,Direct,14,58.33%,2025-12-20 17:49:25,50.00%,50.00%,100.00%,25.00%,75.00%
维也纳美泉宫,zhipu,context,Direct,11,45.83%,2025-12-20 17:54:15,12.50%,50.00%,50.00%,50.00%,100.00%
维也纳美泉宫,zhipu,graph,Direct,11,45.83%,2025-12-20 17:59:43,37.50%,75.00%,75.00%,50.00%,0.00%
维也纳美泉宫,zhipu,map,Direct,15,62.50%,2025-12-20 18:02:49,50.00%,50.00%,100.00%,25.00%,100.00%
罗马斗兽场,qwen,context,Direct,11,45.83%,2025-12-20 18:09:02,12.50%,25.00%,75.00%,50.00%,100.00%
罗马斗兽场,qwen,graph,Direct,3,12.50%,2025-12-20 18:13:24,0.00%,0.00%,25.00%,25.00%,25.00%
罗马斗兽场,qwen,map,Direct,14,58.33%,2025-12-20 18:17:53,50.00%,75.00%,75.00%,25.00%,75.00%
罗马斗兽场,openai,context,Direct,15,62.50%,2025-12-20 18:21:49,62.50%,50.00%,75.00%,50.00%,75.00%
罗马斗兽场,openai,graph,Direct,6,25.00%,2025-12-20 18:25:25,0.00%,0.00%,25.00%,100.00%,25.00%
罗马斗兽场,openai,map,Direct,12,50.00%,2025-12-20 18:29:19,50.00%,0.00%,75.00%,50.00%,75.00%
罗马斗兽场,deepseek,context,Direct,15,62.50%,2025-12-20 18:38:01,62.50%,50.00%,75.00%,50.00%,75.00%
罗马斗兽场,deepseek,graph,Direct,5,20.83%,2025-12-20 18:44:57,0.00%,0.00%,25.00%,25.00%,75.00%
罗马斗兽场,deepseek,map,Direct,13,54.17%,2025-12-20 18:55:14,50.00%,25.00%,100.00%,25.00%,75.00%
罗马斗兽场,claude,context,Direct,8,33.33%,2025-12-20 19:00:43,12.50%,0.00%,25.00%,50.00%,100.00%
罗马斗兽场,claude,graph,Direct,3,12.50%,2025-12-20 19:05:12,0.00%,0.00%,25.00%,25.00%,25.00%
罗马斗兽场,claude,map,Direct,13,54.17%,2025-12-20 19:08:59,50.00%,100.00%,50.00%,0.00%,75.00%
罗马斗兽场,gemini,context,Direct,9,37.50%,2025-12-20 19:18:53,25.00%,0.00%,25.00%,50.00%,100.00%
罗马斗兽场,gemini,graph,Direct,3,12.50%,2025-12-20 19:22:49,0.00%,0.00%,25.00%,25.00%,25.00%
罗马斗兽场,gemini,map,Direct,14,58.33%,2025-12-20 19:26:48,50.00%,100.00%,75.00%,0.00%,75.00%
罗马斗兽场,zhipu,context,Direct,10,41.67%,2025-12-20 19:35:46,25.00%,0.00%,50.00%,50.00%,100.00%
罗马斗兽场,zhipu,graph,Direct,3,12.50%,2025-12-20 19:38:45,0.00%,0.00%,25.00%,25.00%,25.00%
罗马斗兽场,zhipu,map,Direct,14,58.33%,2025-12-20 19:42:29,50.00%,100.00%,75.00%,0.00%,75.00%
