Region,Model,Total Score,Accuracy,Completed At,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
武汉黄鹤楼,zhipu,6,25.00%,2025-12-17 22:54:26,25.00%,0.00%,50.00%,0.00%,50.00%
洛杉矶好莱坞,qwen,10,41.67%,2025-12-17 22:57:13,37.50%,50.00%,50.00%,0.00%,75.00%
洛杉矶好莱坞,openai,11,45.83%,2025-12-17 23:01:21,37.50%,25.00%,75.00%,25.00%,75.00%
洛杉矶好莱坞,deepseek,9,37.50%,2025-12-17 23:09:16,25.00%,50.00%,25.00%,0.00%,100.00%
洛杉矶好莱坞,claude,8,33.33%,2025-12-17 23:12:42,25.00%,25.00%,50.00%,0.00%,75.00%
洛杉矶好莱坞,gemini,10,41.67%,2025-12-17 23:16:25,25.00%,50.00%,50.00%,0.00%,100.00%
洛杉矶好莱坞,zhipu,10,41.67%,2025-12-17 23:19:32,25.00%,50.00%,75.00%,0.00%,75.00%
纽约时代广场,qwen,11,45.83%,2025-12-17 23:23:25,50.00%,25.00%,50.00%,25.00%,75.00%
纽约时代广场,openai,13,54.17%,2025-12-17 23:27:38,37.50%,0.00%,75.00%,75.00%,100.00%
纽约时代广场,deepseek,14,58.33%,2025-12-17 23:33:56,37.50%,50.00%,75.00%,75.00%,75.00%
纽约时代广场,claude,10,41.67%,2025-12-17 23:37:36,37.50%,0.00%,75.00%,25.00%,75.00%
纽约时代广场,gemini,9,37.50%,2025-12-17 23:42:05,25.00%,25.00%,50.00%,25.00%,75.00%
纽约时代广场,zhipu,11,45.83%,2025-12-17 23:46:28,50.00%,25.00%,50.00%,25.00%,75.00%
维也纳美泉宫,qwen,12,50.00%,2025-12-18 00:18:42,50.00%,50.00%,50.00%,50.00%,50.00%
维也纳美泉宫,openai,18,75.00%,2025-12-18 00:50:49,100.00%,75.00%,50.00%,50.00%,75.00%
维也纳美泉宫,deepseek,14,58.33%,2025-12-18 01:01:22,87.50%,100.00%,25.00%,0.00%,50.00%
维也纳美泉宫,claude,10,41.67%,2025-12-18 01:41:57,37.50%,50.00%,75.00%,0.00%,50.00%
维也纳美泉宫,gemini,10,41.67%,2025-12-18 01:49:26,37.50%,50.00%,75.00%,0.00%,50.00%
维也纳美泉宫,zhipu,11,45.83%,2025-12-18 01:56:09,50.00%,50.00%,50.00%,25.00%,50.00%
罗马斗兽场,qwen,17,70.83%,2025-12-18 02:03:25,50.00%,75.00%,100.00%,50.00%,100.00%
罗马斗兽场,openai,19,79.17%,2025-12-18 02:07:06,75.00%,75.00%,100.00%,75.00%,75.00%
罗马斗兽场,deepseek,20,83.33%,2025-12-18 02:12:59,87.50%,75.00%,100.00%,75.00%,75.00%
罗马斗兽场,claude,10,41.67%,2025-12-18 02:16:05,0.00%,25.00%,75.00%,50.00%,100.00%
罗马斗兽场,gemini,14,58.33%,2025-12-18 02:20:08,37.50%,25.00%,75.00%,75.00%,100.00%
罗马斗兽场,zhipu,11,45.83%,2025-12-18 02:22:59,25.00%,25.00%,75.00%,25.00%,100.00%
芝加哥千禧公园,qwen,11,45.83%,2025-12-18 02:26:25,50.00%,50.00%,100.00%,0.00%,25.00%
芝加哥千禧公园,openai,12,50.00%,2025-12-18 02:30:34,25.00%,50.00%,100.00%,75.00%,25.00%
芝加哥千禧公园,deepseek,12,50.00%,2025-12-18 02:36:58,62.50%,75.00%,50.00%,0.00%,50.00%
芝加哥千禧公园,claude,6,25.00%,2025-12-18 02:40:10,25.00%,25.00%,50.00%,0.00%,25.00%
芝加哥千禧公园,gemini,8,33.33%,2025-12-18 02:44:36,25.00%,50.00%,50.00%,25.00%,25.00%
芝加哥千禧公园,zhipu,8,33.33%,2025-12-18 02:48:06,37.50%,50.00%,50.00%,0.00%,25.00%
长沙五一广场,qwen,12,50.00%,2025-12-18 02:50:22,37.50%,75.00%,50.00%,50.00%,50.00%
长沙五一广场,openai,11,45.83%,2025-12-18 02:54:00,25.00%,75.00%,75.00%,50.00%,25.00%
长沙五一广场,deepseek,15,62.50%,2025-12-18 02:59:03,87.50%,50.00%,100.00%,0.00%,50.00%
长沙五一广场,claude,13,54.17%,2025-12-18 03:02:13,50.00%,75.00%,50.00%,25.00%,75.00%
长沙五一广场,gemini,11,45.83%,2025-12-18 03:05:34,37.50%,50.00%,50.00%,0.00%,100.00%
长沙五一广场,zhipu,9,37.50%,2025-12-18 03:08:39,37.50%,50.00%,50.00%,0.00%,50.00%
