source_shp,base_grid_size,target_grid_size,scale_factor,center_lat,center_lng,min_lat,min_lng,max_lat,max_lng,boundary_corners_latlng,cell_edge_m,cell_step_m
data\上海外滩\格网数据.shp,20,40,2.0,31.229998565000024,121.47521527500005,31.21891979500005,121.46393662899997,31.241077334999996,121.48649392100013,"(31.21891979500005,121.46393662899997);(31.241077334999996,121.46393662899997);(31.241077334999996,121.48649392100013);(31.21891979500005,121.48649392100013)",57.60747924218168,59.08459409454531
data\上海外滩\格网数据.shp,20,60,3.0,31.229998565000024,121.47521527500005,31.213380410000063,121.45829730599993,31.246616719999984,121.49213324400017,"(31.213380410000063,121.45829730599993);(31.246616719999984,121.45829730599993);(31.246616719999984,121.49213324400017);(31.213380410000063,121.49213324400017)",57.6074791840044,58.58387713627566
data\伦敦大本钟\格网数据.shp,20,40,2.0,51.49885156750008,-0.12509262649996675,51.484432034500095,-0.14055912349998298,51.51327110050007,-0.10962612949995051,"(51.484432034500095,-0.14055912349998298);(51.51327110050007,-0.14055912349998298);(51.51327110050007,-0.10962612949995051);(51.484432034500095,-0.10962612949995051)",66.85010163228469,68.56420680234328
data\伦敦大本钟\格网数据.shp,20,60,3.0,51.49885156750008,-0.12509262649996675,51.477222268000105,-0.1482923719999911,51.52048086700006,-0.1018928809999424,"(51.477222268000105,-0.1482923719999911);(51.52048086700006,-0.1482923719999911);(51.52048086700006,-0.1018928809999424);(51.477222268000105,-0.1018928809999424)",66.85010138342116,67.98315394924185
data\北京天安门\格网数据.shp,20,40,2.0,39.90403150015371,116.40777250000096,39.89216849987648,116.39355949927155,39.91589450043093,116.42198550073037,"(39.89216849987648,116.39355949927155);(39.91589450043093,116.39355949927155);(39.91589450043093,116.42198550073037);(39.89216849987648,116.42198550073037)",63.286808142459606,64.90954681277908
data\北京天安门\格网数据.shp,20,60,3.0,39.90403150015371,116.40777250000096,39.886236999737875,116.38645299890683,39.92182600056954,116.42909200109509,"(39.886236999737875,116.38645299890683);(39.92182600056954,116.38645299890683);(39.92182600056954,116.42909200109509);(39.886236999737875,116.42909200109509)",63.28680798255985,64.3594657449761
data\多伦多CN塔\格网数据.shp,20,40,2.0,43.6421945220001,-79.38810186799996,43.62966547000013,-79.40303338199995,43.65472357400008,-79.37317035399998,"(43.62966547000013,-79.40303338199995);(43.65472357400008,-79.40303338199995);(43.65472357400008,-79.37317035399998);(43.62966547000013,-79.37317035399998)",64.86680638791253,66.53005783375644
data\多伦多CN塔\格网数据.shp,20,60,3.0,43.6421945220001,-79.38810186799996,43.62340094400014,-79.41049913899994,43.66098810000007,-79.36570459699999,"(43.62340094400014,-79.41049913899994);(43.66098810000007,-79.41049913899994);(43.66098810000007,-79.36570459699999);(43.62340094400014,-79.36570459699999)",64.86680618548144,65.9662435784557
data\巴黎埃菲尔铁塔\格网数据.shp,20,40,2.0,48.85824962700004,2.2931178765000113,48.83815507900008,2.2718098035000076,48.878344175,2.314425949500015,"(48.83815507900008,2.2718098035000076);(48.878344175,2.2718098035000076);(48.878344175,2.314425949500015);(48.83815507900008,2.314425949500015)",94.83160424673952,97.26318384280977
data\巴黎埃菲尔铁塔\格网数据.shp,20,60,3.0,48.85824962700004,2.2931178765000113,48.8281078050001,2.2611557670000058,48.88839144899998,2.325079986000017,"(48.8281078050001,2.2611557670000058);(48.88839144899998,2.2611557670000058);(48.88839144899998,2.325079986000017);(48.8281078050001,2.325079986000017)",94.83160360989424,96.43891892531619
