Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,重选起点次数,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
上海外滩,claude,context,Direct,16,66.67%,2026-03-22T15:44:53.287879,8,75.00%,75.00%,75.00%,50.00%,50.00%
伦敦大本钟,claude,context,Direct,20,83.33%,2026-03-22T15:48:48.350294,6,100.00%,100.00%,50.00%,50.00%,100.00%
北京天安门,claude,context,Direct,18,75.00%,2026-03-22T15:56:41.401022,8,100.00%,50.00%,75.00%,50.00%,75.00%
多伦多CN塔,claude,context,Direct,18,75.00%,2026-03-22T16:00:54.564344,6,87.50%,100.00%,75.00%,75.00%,25.00%
巴黎埃菲尔铁塔,claude,context,Direct,17,70.83%,2026-03-22T16:04:51.254177,9,87.50%,75.00%,75.00%,75.00%,25.00%
广州塔,claude,context,Direct,15,62.50%,2026-03-22T16:07:55.205251,6,100.00%,75.00%,50.00%,25.00%,25.00%
旧金山联合广场,claude,context,Direct,16,66.67%,2026-03-22T16:17:23.917678,8,62.50%,25.00%,100.00%,75.00%,75.00%
柏林勃兰登堡门,claude,context,Direct,17,70.83%,2026-03-22T16:21:28.037830,9,75.00%,100.00%,75.00%,75.00%,25.00%
武汉黄鹤楼,claude,context,Direct,15,62.50%,2026-03-22T16:26:32.876441,7,75.00%,75.00%,75.00%,25.00%,50.00%
洛杉矶好莱坞,claude,context,Direct,16,66.67%,2026-03-22T16:30:43.334514,4,75.00%,75.00%,75.00%,25.00%,75.00%
纽约时代广场,claude,context,Direct,15,62.50%,2026-03-22T16:34:44.021886,8,50.00%,75.00%,50.00%,75.00%,75.00%
维也纳美泉宫,claude,context,Direct,20,83.33%,2026-03-22T16:38:46.677467,6,75.00%,100.00%,100.00%,75.00%,75.00%
罗马斗兽场,claude,context,Direct,18,75.00%,2026-03-22T16:42:34.267269,8,75.00%,100.00%,100.00%,50.00%,50.00%
芝加哥千禧公园,claude,context,Direct,13,54.17%,2026-03-22T16:47:43.065267,5,50.00%,50.00%,50.00%,50.00%,75.00%
长沙五一广场,claude,context,Direct,19,79.17%,2026-03-22T16:51:30.858838,11,100.00%,75.00%,100.00%,75.00%,25.00%
