Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
洛杉矶好莱坞,deepseek,text,Direct,9,37.50%,2025-12-25T02:29:16.033460,50.00%,25.00%,50.00%,0.00%,50.00%
洛杉矶好莱坞,gemini,text,Direct,20,83.33%,2025-12-25T02:36:13.549105,100.00%,100.00%,100.00%,25.00%,75.00%
洛杉矶好莱坞,openai,text,Direct,10,41.67%,2025-12-25T02:37:18.063382,37.50%,25.00%,75.00%,0.00%,75.00%
洛杉矶好莱坞,qwen,text,Direct,12,50.00%,2025-12-25T02:37:57.063723,37.50%,75.00%,75.00%,0.00%,75.00%
纽约时代广场,claude,text,Direct,15,62.50%,2025-12-25T02:41:10.325072,50.00%,75.00%,75.00%,75.00%,50.00%
纽约时代广场,deepseek,text,Direct,10,41.67%,2025-12-25T02:42:10.956028,50.00%,50.00%,50.00%,25.00%,25.00%
纽约时代广场,gemini,text,Direct,16,66.67%,2025-12-25T02:52:48.781934,62.50%,75.00%,50.00%,75.00%,75.00%
纽约时代广场,openai,text,Direct,10,41.67%,2025-12-25T02:53:58.794039,37.50%,50.00%,25.00%,25.00%,75.00%
纽约时代广场,qwen,text,Direct,13,54.17%,2025-12-25T02:54:35.637408,25.00%,25.00%,75.00%,75.00%,100.00%
维也纳美泉宫,claude,text,Direct,18,75.00%,2025-12-25T02:57:55.737337,100.00%,75.00%,75.00%,25.00%,75.00%
维也纳美泉宫,deepseek,text,Direct,8,33.33%,2025-12-25T02:59:08.307848,25.00%,50.00%,75.00%,0.00%,25.00%
维也纳美泉宫,gemini,text,Direct,20,83.33%,2025-12-25T03:06:44.287574,100.00%,75.00%,100.00%,50.00%,75.00%
维也纳美泉宫,openai,text,Direct,10,41.67%,2025-12-25T03:07:55.328574,25.00%,25.00%,75.00%,50.00%,50.00%
维也纳美泉宫,qwen,text,Direct,16,66.67%,2025-12-25T03:08:32.286940,75.00%,50.00%,50.00%,75.00%,75.00%
罗马斗兽场,claude,text,Direct,19,79.17%,2025-12-25T03:10:49.290308,87.50%,50.00%,75.00%,75.00%,100.00%
罗马斗兽场,deepseek,text,Direct,10,41.67%,2025-12-25T03:11:53.185408,25.00%,75.00%,75.00%,50.00%,0.00%
罗马斗兽场,gemini,text,Direct,23,95.83%,2025-12-25T03:19:27.319211,100.00%,100.00%,100.00%,75.00%,100.00%
