Region,Eval Model,Source File,Context Mode,Strategy,Total Score,Accuracy,Completed At,重选起点次数,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
芝加哥千禧公园,qwen,评估报告_芝加哥千禧公园_qwen_report.txt__芝加哥千禧公园__summary_memory_50pct.txt,一次压缩,Direct,6,25.00%,2026-03-24T13:42:42.091531,0,25.00%,50.00%,25.00%,0.00%,25.00%
长沙五一广场,deepseek,评估报告_长沙五一广场_qwen_report.txt__长沙五一广场__summary_memory_50pct.txt,一次压缩,Direct,10,41.67%,2026-03-24T13:43:36.413072,0,50.00%,25.00%,25.00%,50.00%,50.00%
长沙五一广场,qwen,评估报告_长沙五一广场_qwen_report.txt__长沙五一广场__summary_memory_50pct.txt,一次压缩,Direct,10,41.67%,2026-03-24T13:45:39.353236,0,50.00%,75.00%,25.00%,25.00%,25.00%
多伦多CN塔,qwen,评估报告_多伦多CN塔_qwen_report.txt__多伦多CN塔__summary_memory_50pct.txt,一次压缩,Direct,6,25.00%,2026-03-24T15:48:39.154777,0,25.00%,0.00%,50.00%,0.00%,50.00%
柏林勃兰登堡门,qwen,评估报告_柏林勃兰登堡门_qwen_report.txt__柏林勃兰登堡门__summary_memory_50pct.txt,一次压缩,Direct,3,12.50%,2026-03-24T15:51:45.083615,0,12.50%,0.00%,25.00%,0.00%,25.00%
上海外滩,claude,评估报告_上海外滩_qwen_report.txt__上海外滩__summary_memory_50pct.txt,一次压缩,Direct,9,37.50%,2026-03-24T16:43:50.461086,0,12.50%,0.00%,75.00%,75.00%,50.00%
上海外滩,openai,评估报告_上海外滩_qwen_report.txt__上海外滩__summary_memory_50pct.txt,一次压缩,Direct,9,37.50%,2026-03-24T16:44:22.750555,0,25.00%,0.00%,75.00%,75.00%,25.00%
伦敦大本钟,claude,评估报告_伦敦大本钟_qwen_report.txt__伦敦大本钟__summary_memory_50pct.txt,一次压缩,Direct,10,41.67%,2026-03-24T16:53:49.694798,0,37.50%,25.00%,25.00%,75.00%,50.00%
伦敦大本钟,openai,评估报告_伦敦大本钟_qwen_report.txt__伦敦大本钟__summary_memory_50pct.txt,一次压缩,Direct,8,33.33%,2026-03-24T16:55:57.819667,0,37.50%,25.00%,50.00%,25.00%,25.00%
北京天安门,claude,评估报告_北京天安门_qwen_report.txt__北京天安门__summary_memory_50pct.txt,一次压缩,Direct,6,25.00%,2026-03-24T17:07:08.553859,0,12.50%,50.00%,25.00%,25.00%,25.00%
