Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,重选起点次数,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
长沙五一广场,openai,context,Direct,15,62.50%,2026-03-20T01:01:09.422092,0,37.50%,100.00%,75.00%,50.00%,75.00%
上海外滩,claude,context,Direct,18,75.00%,2026-03-20T01:03:34.805722,0,62.50%,75.00%,100.00%,75.00%,75.00%
伦敦大本钟,claude,context,Direct,15,62.50%,2026-03-20T01:06:59.981654,0,87.50%,100.00%,25.00%,50.00%,25.00%
北京天安门,claude,context,Direct,21,87.50%,2026-03-20T01:11:09.439407,0,100.00%,75.00%,100.00%,50.00%,100.00%
多伦多CN塔,claude,context,Direct,21,87.50%,2026-03-20T01:14:19.148257,0,87.50%,100.00%,100.00%,75.00%,75.00%
巴黎埃菲尔铁塔,claude,context,Direct,21,87.50%,2026-03-20T01:17:54.716792,0,100.00%,75.00%,100.00%,50.00%,100.00%
广州塔,claude,context,Direct,16,66.67%,2026-03-20T01:21:23.180624,0,100.00%,25.00%,50.00%,25.00%,100.00%
旧金山联合广场,claude,context,Direct,16,66.67%,2026-03-20T01:25:06.807843,0,62.50%,50.00%,75.00%,75.00%,75.00%
柏林勃兰登堡门,claude,context,Direct,19,79.17%,2026-03-20T01:28:44.905538,0,87.50%,100.00%,100.00%,75.00%,25.00%
武汉黄鹤楼,claude,context,Direct,12,50.00%,2026-03-20T01:33:07.955221,0,62.50%,50.00%,50.00%,25.00%,50.00%
洛杉矶好莱坞,claude,context,Direct,16,66.67%,2026-03-20T01:36:43.410303,0,75.00%,75.00%,75.00%,50.00%,50.00%
纽约时代广场,claude,context,Direct,16,66.67%,2026-03-20T01:40:16.800089,0,50.00%,75.00%,75.00%,75.00%,75.00%
维也纳美泉宫,claude,context,Direct,22,91.67%,2026-03-20T01:43:41.767794,0,100.00%,100.00%,75.00%,100.00%,75.00%
罗马斗兽场,claude,context,Direct,22,91.67%,2026-03-20T01:46:52.843971,0,87.50%,100.00%,100.00%,75.00%,100.00%
芝加哥千禧公园,claude,context,Direct,16,66.67%,2026-03-20T01:50:27.497508,0,50.00%,100.00%,75.00%,25.00%,100.00%
长沙五一广场,claude,context,Direct,21,87.50%,2026-03-20T01:54:27.696254,0,100.00%,75.00%,100.00%,75.00%,75.00%
上海外滩,qwen,context,Direct,16,66.67%,2026-03-20T01:56:50.548442,0,50.00%,75.00%,100.00%,25.00%,100.00%
长沙五一广场,qwen,context,Direct,12,50.00%,2026-03-20T02:17:19.260241,0,37.50%,100.00%,50.00%,25.00%,50.00%
伦敦大本钟,qwen,context,Direct,17,70.83%,2026-03-20T02:26:34.764737,0,75.00%,75.00%,75.00%,75.00%,50.00%
北京天安门,qwen,context,Direct,12,50.00%,2026-03-20T02:28:19.722888,0,37.50%,50.00%,50.00%,25.00%,100.00%
多伦多CN塔,qwen,context,Direct,20,83.33%,2026-03-20T02:29:56.628925,0,75.00%,100.00%,75.00%,75.00%,100.00%
巴黎埃菲尔铁塔,qwen,context,Direct,14,58.33%,2026-03-20T02:32:21.063774,0,37.50%,75.00%,50.00%,75.00%,75.00%
柏林勃兰登堡门,qwen,context,Direct,15,62.50%,2026-03-20T02:41:17.775962,0,50.00%,100.00%,75.00%,25.00%,75.00%
武汉黄鹤楼,qwen,context,Direct,10,41.67%,2026-03-20T02:44:09.601268,0,0.00%,75.00%,75.00%,25.00%,75.00%
洛杉矶好莱坞,qwen,context,Direct,13,54.17%,2026-03-20T02:45:47.815607,0,37.50%,100.00%,25.00%,25.00%,100.00%
纽约时代广场,qwen,context,Direct,15,62.50%,2026-03-20T02:49:26.718833,0,50.00%,50.00%,100.00%,25.00%,100.00%
维也纳美泉宫,qwen,context,Direct,18,75.00%,2026-03-20T02:51:45.001414,0,62.50%,100.00%,100.00%,25.00%,100.00%
罗马斗兽场,qwen,context,Direct,16,66.67%,2026-03-20T02:56:43.658655,0,37.50%,100.00%,100.00%,25.00%,100.00%
芝加哥千禧公园,qwen,context,Direct,14,58.33%,2026-03-20T02:59:03.666016,0,50.00%,75.00%,75.00%,25.00%,75.00%
旧金山联合广场,qwen,context,Direct,12,50.00%,2026-03-20T03:07:20.242485,0,37.50%,75.00%,50.00%,50.00%,50.00%
广州塔,qwen,context,Direct,13,54.17%,2026-03-20T03:09:38.276211,0,50.00%,25.00%,75.00%,25.00%,100.00%
